cell	bio_celltype
494	(2) Fribroblast-like (AV mesenchyme related)
496	(2) Fribroblast-like (AV mesenchyme related)
498	(8) Fibroblast-like (outflow tract & valve related)
499	(8) Fibroblast-like (outflow tract & valve related)
504	(2) Fribroblast-like (AV mesenchyme related)
505	(2) Fribroblast-like (AV mesenchyme related)
506	(2) Fribroblast-like (AV mesenchyme related)
508	(2) Fribroblast-like (AV mesenchyme related)
509	(5) Smooth muscle cells/ fibroblast-like
510	(2) Fribroblast-like (AV mesenchyme related)
511	(10) Endothelium/ pericytes/ adventia
512	(4) Fribroblast-like (coronary & mediastinal vasculature related)
513	(2) Fribroblast-like (AV mesenchyme related)
515	(2) Fribroblast-like (AV mesenchyme related)
517	(8) Fibroblast-like (outflow tract & valve related)
518	(2) Fribroblast-like (AV mesenchyme related)
519	(2) Fribroblast-like (AV mesenchyme related)
520	(2) Fribroblast-like (AV mesenchyme related)
521	(4) Fribroblast-like (coronary & mediastinal vasculature related)
522	(8) Fibroblast-like (outflow tract & valve related)
524	(5) Smooth muscle cells/ fibroblast-like
525	(2) Fribroblast-like (AV mesenchyme related)
526	(5) Smooth muscle cells/ fibroblast-like
527	(0) Capillary endothelium
528	(2) Fribroblast-like (AV mesenchyme related)
529	(4) Fribroblast-like (coronary & mediastinal vasculature related)
531	(2) Fribroblast-like (AV mesenchyme related)
532	(0) Capillary endothelium
533	(2) Fribroblast-like (AV mesenchyme related)
534	(8) Fibroblast-like (outflow tract & valve related)
536	(2) Fribroblast-like (AV mesenchyme related)
537	(2) Fribroblast-like (AV mesenchyme related)
540	(2) Fribroblast-like (AV mesenchyme related)
541	(5) Smooth muscle cells/ fibroblast-like
542	(8) Fibroblast-like (outflow tract & valve related)
543	(5) Smooth muscle cells/ fibroblast-like
544	(8) Fibroblast-like (outflow tract & valve related)
547	(8) Fibroblast-like (outflow tract & valve related)
549	(10) Endothelium/ pericytes/ adventia
550	(5) Smooth muscle cells/ fibroblast-like
551	(2) Fribroblast-like (AV mesenchyme related)
552	(2) Fribroblast-like (AV mesenchyme related)
553	(5) Smooth muscle cells/ fibroblast-like
554	(4) Fribroblast-like (coronary & mediastinal vasculature related)
555	(4) Fribroblast-like (coronary & mediastinal vasculature related)
556	(5) Smooth muscle cells/ fibroblast-like
557	(5) Smooth muscle cells/ fibroblast-like
558	(2) Fribroblast-like (AV mesenchyme related)
559	(8) Fibroblast-like (outflow tract & valve related)
560	(2) Fribroblast-like (AV mesenchyme related)
561	(2) Fribroblast-like (AV mesenchyme related)
562	(2) Fribroblast-like (AV mesenchyme related)
563	(5) Smooth muscle cells/ fibroblast-like
564	(5) Smooth muscle cells/ fibroblast-like
565	(8) Fibroblast-like (outflow tract & valve related)
566	(5) Smooth muscle cells/ fibroblast-like
567	(5) Smooth muscle cells/ fibroblast-like
568	(5) Smooth muscle cells/ fibroblast-like
569	(5) Smooth muscle cells/ fibroblast-like
570	(5) Smooth muscle cells/ fibroblast-like
571	(5) Smooth muscle cells/ fibroblast-like
572	(2) Fribroblast-like (AV mesenchyme related)
573	(5) Smooth muscle cells/ fibroblast-like
575	(2) Fribroblast-like (AV mesenchyme related)
576	(2) Fribroblast-like (AV mesenchyme related)
577	(5) Smooth muscle cells/ fibroblast-like
578	(5) Smooth muscle cells/ fibroblast-like
579	(3) Subepicardial cells
581	(2) Fribroblast-like (AV mesenchyme related)
582	(3) Subepicardial cells
583	(2) Fribroblast-like (AV mesenchyme related)
584	(5) Smooth muscle cells/ fibroblast-like
585	(2) Fribroblast-like (AV mesenchyme related)
586	(5) Smooth muscle cells/ fibroblast-like
587	(8) Fibroblast-like (outflow tract & valve related)
588	(5) Smooth muscle cells/ fibroblast-like
589	(5) Smooth muscle cells/ fibroblast-like
590	(5) Smooth muscle cells/ fibroblast-like
591	(5) Smooth muscle cells/ fibroblast-like
592	(5) Smooth muscle cells/ fibroblast-like
593	(5) Smooth muscle cells/ fibroblast-like
594	(5) Smooth muscle cells/ fibroblast-like
595	(5) Smooth muscle cells/ fibroblast-like
596	(5) Smooth muscle cells/ fibroblast-like
597	(5) Smooth muscle cells/ fibroblast-like
598	(2) Fribroblast-like (AV mesenchyme related)
599	(2) Fribroblast-like (AV mesenchyme related)
600	(3) Subepicardial cells
601	(14) Cells related to cardiac neural crest
602	(5) Smooth muscle cells/ fibroblast-like
604	(5) Smooth muscle cells/ fibroblast-like
605	(5) Smooth muscle cells/ fibroblast-like
606	(14) Cells related to cardiac neural crest
607	(5) Smooth muscle cells/ fibroblast-like
