spot	(0) Capillary endothelium	(1) Ventricular cardiomyocytes	(10) Endothelium/ pericytes/ adventia	(12) Cardiomyocytes	(14) Cells related to cardiac neural crest	(2) Fribroblast-like (AV mesenchyme related)	(3) Subepicardial cells	(4) Fribroblast-like (coronary & mediastinal vasculature related)	(5) Smooth muscle cells/ fibroblast-like	(7) Artrial cardiomyocytes	(8) Fibroblast-like (outflow tract & valve related)	(9) Epicardial cells
4313_3180	1	0	0	0	0	0	0	0	0	3	0	0
4313_5300	0	0	0	0	0	0	0	0	0	14	0	0
4313_5724	1	0	2	1	0	0	0	0	0	21	1	0
4313_6148	3	0	1	0	0	2	1	2	0	0	4	0
4313_6572	1	0	1	0	0	1	5	6	6	0	9	0
4313_6996	0	0	0	0	0	0	0	2	0	0	0	0
4313_8692	7	2	2	8	0	1	0	0	1	1	4	0
4313_9116	3	3	2	14	0	0	0	1	0	0	4	0
4313_9540	4	6	6	11	0	0	0	0	0	1	1	0
4313_9964	1	3	1	11	0	0	0	0	0	0	1	0
4313_10388	0	7	1	11	0	0	0	2	0	1	1	0
4313_10812	1	3	0	6	0	0	0	3	0	0	0	0
4313_11236	1	0	0	3	0	0	0	0	0	1	0	0
4313_11660	0	0	1	13	1	0	0	0	0	1	0	0
4313_12084	1	1	2	15	0	0	0	0	0	0	0	0
4313_12508	1	2	1	5	0	0	0	0	0	3	1	0
4313_12932	2	7	0	11	0	0	0	0	0	2	0	0
4313_13356	0	4	1	13	0	0	0	1	0	4	0	0
4313_13780	3	2	1	13	0	0	0	0	0	3	0	0
4313_14204	3	6	0	7	0	0	0	0	0	2	0	0
4313_14628	1	3	1	10	0	0	0	0	0	0	1	0
4313_15052	1	6	0	5	0	0	0	2	0	0	0	0
4313_15476	1	2	2	9	0	0	1	0	0	1	3	0
4313_15900	0	0	1	0	0	0	0	1	0	0	2	2
4767_636	0	0	0	0	0	0	1	0	0	0	0	3
4767_1060	0	0	0	0	0	0	1	1	0	24	0	4
4767_1484	0	0	1	3	0	0	0	0	0	26	0	0
