cell	bio_celltype
cell696	Interneuron
cell697	Interneuron
cell698	Interneuron
cell699	Interneuron
cell700	Neuroblast
cell701	Neuroblast
cell702	Neuroblast
cell703	Astrocytes
cell704	Interneuron
cell705	Interneuron
cell706	Interneuron
cell707	Neuroblast
cell708	Interneuron
cell709	Interneuron
cell710	Interneuron
cell711	Neuroblast
cell712	Interneuron
cell713	Interneuron
cell714	Interneuron
cell715	Neuroblast
cell716	Interneuron
cell717	Interneuron
cell718	Endothelial cells
cell719	Neuroblast
cell720	Interneuron
cell721	Interneuron
cell722	Neuroblast
cell723	Interneuron
cell724	Astrocytes
cell725	Oligodendrocytes
cell726	Interneuron
cell727	Neuroblast
cell728	Interneuron
cell729	Astrocytes
cell730	Neuroblast
cell731	Interneuron
cell732	Interneuron
cell733	Astrocytes
cell734	Astrocytes
cell735	Interneuron
cell736	Neuroblast
cell737	Neuroblast
cell738	Neuroblast
cell739	Neuroblast
cell740	Neuroblast
cell741	Interneuron
cell742	Neuroblast
cell743	Neuroblast
cell744	Neuroblast
cell745	Interneuron
cell746	Interneuron
cell747	Neuroblast
cell748	Neuroblast
cell749	Astrocytes
cell750	Interneuron
cell751	Interneuron
cell752	Neuroblast
cell753	Astrocytes
cell754	Interneuron
cell755	Interneuron
cell756	Interneuron
cell757	Interneuron
cell758	Interneuron
cell759	Microglia
cell760	Neuroblast
cell761	Interneuron
cell762	Neuroblast
cell763	Interneuron
cell764	Neuroblast
cell765	Neuroblast
cell766	Interneuron
cell767	Interneuron
cell768	Interneuron
cell769	Interneuron
cell770	Neuroblast
cell771	Interneuron
cell772	Interneuron
cell773	Interneuron
cell775	Interneuron
cell776	Interneuron
cell777	Interneuron
cell778	Interneuron
cell779	Interneuron
cell780	Neuroblast
cell781	Interneuron
cell782	Interneuron
cell783	Interneuron
cell784	Interneuron
cell785	Interneuron
cell786	Interneuron
cell787	Interneuron
cell788	Neuroblast
cell789	Neuroblast
cell790	Endothelial cells
cell791	Neuroblast
cell792	Interneuron
cell793	Interneuron
cell794	Interneuron
cell795	Neuroblast
cell796	Neuroblast
cell797	Interneuron
cell798	Interneuron
cell799	Neuroblast
cell800	Interneuron
cell801	Interneuron
cell802	Astrocytes
cell803	Interneuron
cell804	Interneuron
cell805	Neuroblast
cell806	Interneuron
cell807	Interneuron
cell808	Endothelial cells
cell809	Interneuron
cell810	Microglia
cell811	Endothelial cells
cell812	Interneuron
cell813	Interneuron
cell814	Neuroblast
cell815	Interneuron
cell816	Interneuron
cell817	Neuroblast
cell818	Astrocytes
cell819	Astrocytes
cell820	Astrocytes
cell821	Interneuron
cell822	Astrocytes
cell823	Astrocytes
cell824	Neuroblast
cell825	Interneuron
cell826	Endothelial cells
cell827	Interneuron
cell828	Interneuron
cell829	Interneuron
cell830	Interneuron
cell831	Interneuron
cell832	Interneuron
cell833	Neuroblast
cell834	Interneuron
cell835	Neuroblast
cell836	Astrocytes
cell837	Neuroblast
cell838	Neuroblast
cell839	Interneuron
cell840	Neuroblast
cell841	Neuroblast
cell842	Neuroblast
cell843	Astrocytes
cell844	Astrocytes
cell845	Interneuron
cell846	Neuroblast
cell847	Interneuron
cell848	Interneuron
cell849	Interneuron
cell850	Interneuron
cell851	Interneuron
cell852	Neuroblast
cell853	Interneuron
cell854	Interneuron
cell855	Interneuron
cell856	Interneuron
cell857	Microglia
cell858	Neuroblast
cell859	Neuroblast
cell860	Interneuron
cell861	Interneuron
cell862	Neuroblast
cell863	Interneuron
cell864	Interneuron
cell865	Neuroblast
cell866	Interneuron
cell867	Interneuron
cell868	Interneuron
cell869	Astrocytes
cell870	Interneuron
cell871	Interneuron
cell872	Interneuron
cell873	Neuroblast
cell874	Neuroblast
cell875	Interneuron
cell876	Astrocytes
cell877	Interneuron
cell878	Interneuron
cell879	Neuroblast
cell880	Interneuron
cell881	Interneuron
cell882	Neuroblast
cell883	Interneuron
cell884	Interneuron
cell885	Interneuron
cell886	Interneuron
cell887	Neuroblast
cell888	Astrocytes
cell889	Astrocytes
cell890	Interneuron
cell891	Interneuron
cell892	Microglia
cell893	Neuroblast
cell894	Interneuron
cell895	Neuroblast
cell896	Interneuron
cell897	Interneuron
cell898	Neuroblast
cell899	Neuroblast
cell900	Interneuron
cell901	Interneuron
cell902	Neuroblast
cell903	Neuroblast
cell904	Interneuron
cell905	Interneuron
cell906	Interneuron
cell907	Interneuron
cell908	Interneuron
cell909	Interneuron
cell910	Interneuron
cell911	Interneuron
cell912	Interneuron
cell913	Astrocytes
cell914	Interneuron
cell915	Interneuron
cell916	Interneuron
cell917	Interneuron
cell918	Interneuron
cell919	Astrocytes
cell920	Interneuron
cell921	Interneuron
cell922	Interneuron
cell923	Interneuron
cell924	Neuroblast
cell925	Neuroblast
cell926	Neuroblast
cell927	Interneuron
cell928	Interneuron
cell929	Interneuron
cell930	Neuroblast
cell931	Interneuron
cell932	Neuroblast
cell933	Interneuron
cell934	Interneuron
cell935	Neuroblast
cell936	Interneuron
cell937	Neuroblast
cell938	Interneuron
cell939	Neuroblast
cell940	Interneuron
cell941	Interneuron
cell942	Interneuron
cell943	Interneuron
cell944	Neuroblast
cell945	Neuroblast
cell946	Neuroblast
cell947	Interneuron
cell948	Interneuron
cell949	Neuroblast
cell950	Interneuron
cell951	Neuroblast
cell952	Interneuron
cell953	Interneuron
cell954	Neuroblast
cell955	Interneuron
cell956	Neuroblast
cell957	Neuroblast
cell958	Interneuron
cell959	Interneuron
cell960	Interneuron
cell961	Interneuron
cell962	Interneuron
cell963	Interneuron
cell964	Interneuron
cell965	Neuroblast
cell966	Neuroblast
cell967	Interneuron
cell968	Neuroblast
cell969	Neuroblast
cell970	Interneuron
cell971	Interneuron
cell972	Interneuron
cell974	Interneuron
cell975	Neuroblast
cell976	Interneuron
cell977	Neuroblast
cell978	Astrocytes
cell979	Interneuron
cell980	Neuroblast
cell981	Neuroblast
cell982	Neuroblast
cell983	Interneuron
cell984	Interneuron
cell985	Interneuron
cell986	Neuroblast
cell987	Interneuron
cell988	Interneuron
cell989	Interneuron
cell990	Neuroblast
