spot	x	y	layer_new
8853_636	8853	636	2
8853_1060	8853	1060	1
8853_1484	8853	1484	2
8853_1908	8853	1908	1
8853_2332	8853	2332	1
8853_2756	8853	2756	1
8853_4452	8853	4452	1
8853_4876	8853	4876	1
8853_5300	8853	5300	1
8853_5724	8853	5724	1
8853_6148	8853	6148	1
8853_7420	8853	7420	2
8853_7844	8853	7844	2
8853_8268	8853	8268	1
8853_8692	8853	8692	3
8853_9116	8853	9116	3
8853_9540	8853	9540	3
8853_9964	8853	9964	3
8853_10388	8853	10388	3
8853_10812	8853	10812	3
8853_11236	8853	11236	3
8853_11660	8853	11660	3
8853_12084	8853	12084	3
8853_12508	8853	12508	3
8853_12932	8853	12932	3
8853_13356	8853	13356	3
8853_13780	8853	13780	3
8853_14204	8853	14204	3
8853_14628	8853	14628	3
8853_15052	8853	15052	3
8853_15476	8853	15476	3
8853_15900	8853	15900	3
8853_16324	8853	16324	3
8853_16748	8853	16748	3
9307_1908	9307	1908	1
9307_2332	9307	2332	1
9307_2756	9307	2756	1
9307_4452	9307	4452	1
9307_4876	9307	4876	1
9307_5300	9307	5300	1
9307_5724	9307	5724	1
9307_6148	9307	6148	1
9307_6572	9307	6572	2
9307_6996	9307	6996	2
9307_7420	9307	7420	2
9307_7844	9307	7844	2
9307_8268	9307	8268	2
9307_8692	9307	8692	3
9307_9116	9307	9116	3
9307_9540	9307	9540	3
9307_9964	9307	9964	3
9307_10388	9307	10388	3
9307_10812	9307	10812	3
9307_11236	9307	11236	3
9307_11660	9307	11660	3
9307_12084	9307	12084	3
9307_12508	9307	12508	2
9307_12932	9307	12932	2
9307_13356	9307	13356	3
9307_13780	9307	13780	3
9307_14204	9307	14204	3
9307_14628	9307	14628	3
9307_15052	9307	15052	3
9307_15476	9307	15476	3
9307_15900	9307	15900	3
9307_16324	9307	16324	3
9307_16748	9307	16748	3
9761_1484	9761	1484	2
9761_1908	9761	1908	2
9761_2332	9761	2332	2
9761_2756	9761	2756	2
9761_4452	9761	4452	1
9761_4876	9761	4876	1
9761_5300	9761	5300	1
9761_5724	9761	5724	1
9761_6148	9761	6148	1
9761_6572	9761	6572	1
9761_6996	9761	6996	2
9761_7420	9761	7420	2
9761_7844	9761	7844	2
9761_8268	9761	8268	2
9761_8692	9761	8692	3
9761_9116	9761	9116	3
9761_9540	9761	9540	3
9761_12932	9761	12932	3
9761_13356	9761	13356	3
9761_13780	9761	13780	3
9761_14204	9761	14204	3
9761_14628	9761	14628	3
9761_15052	9761	15052	3
9761_15476	9761	15476	3
9761_15900	9761	15900	3
9761_16324	9761	16324	3
9761_16748	9761	16748	3
10215_1484	10215	1484	2
10215_1908	10215	1908	2
10215_2332	10215	2332	2
10215_2756	10215	2756	2
10215_4028	10215	4028	2
10215_4452	10215	4452	1
10215_4876	10215	4876	1
10215_5300	10215	5300	1
10215_5724	10215	5724	1
10215_6148	10215	6148	1
10215_6572	10215	6572	1
10215_6996	10215	6996	1
10215_7420	10215	7420	1
10215_7844	10215	7844	2
10215_8268	10215	8268	3
10215_8692	10215	8692	3
10215_9116	10215	9116	3
10215_9540	10215	9540	3
10215_12932	10215	12932	3
10215_13356	10215	13356	3
10215_13780	10215	13780	3
10215_14204	10215	14204	3
10215_14628	10215	14628	3
10215_15052	10215	15052	3
10215_15476	10215	15476	3
10215_15900	10215	15900	3
10215_16324	10215	16324	3
10215_16748	10215	16748	3
10669_636	10669	636	2
10669_1060	10669	1060	2
10669_1484	10669	1484	2
10669_1908	10669	1908	2
10669_2332	10669	2332	2
10669_2756	10669	2756	2
10669_3180	10669	3180	2
10669_4452	10669	4452	1
10669_4876	10669	4876	1
10669_5724	10669	5724	1
10669_6148	10669	6148	1
10669_6572	10669	6572	1
10669_6996	10669	6996	1
10669_7420	10669	7420	1
10669_7844	10669	7844	1
10669_8268	10669	8268	1
10669_8692	10669	8692	3
10669_9116	10669	9116	3
10669_9540	10669	9540	2
10669_11236	10669	11236	3
10669_11660	10669	11660	3
10669_12084	10669	12084	3
10669_12508	10669	12508	3
10669_12932	10669	12932	3
10669_13356	10669	13356	3
10669_13780	10669	13780	3
10669_14204	10669	14204	3
10669_14628	10669	14628	3
10669_15052	10669	15052	3
10669_15476	10669	15476	3
10669_15900	10669	15900	3
10669_16324	10669	16324	3
10669_16748	10669	16748	3
11123_636	11123	636	2
11123_1060	11123	1060	2
11123_1484	11123	1484	2
11123_1908	11123	1908	2
11123_2332	11123	2332	2
11123_2756	11123	2756	2
11123_4452	11123	4452	1
11123_4876	11123	4876	1
11123_6148	11123	6148	1
11123_6572	11123	6572	1
11123_6996	11123	6996	1
11123_7420	11123	7420	1
11123_7844	11123	7844	1
11123_8268	11123	8268	1
11123_8692	11123	8692	3
11123_9116	11123	9116	3
11123_9540	11123	9540	3
11123_9964	11123	9964	3
11123_10812	11123	10812	3
11123_11236	11123	11236	3
11123_11660	11123	11660	3
11123_12084	11123	12084	3
11123_12508	11123	12508	3
11123_12932	11123	12932	3
11123_13356	11123	13356	3
11123_13780	11123	13780	3
11123_14204	11123	14204	3
11123_14628	11123	14628	3
11123_15052	11123	15052	3
11123_15476	11123	15476	3
11123_15900	11123	15900	3
11123_16324	11123	16324	3
11123_16748	11123	16748	3
11577_1484	11577	1484	2
11577_1908	11577	1908	2
11577_2332	11577	2332	2
11577_4028	11577	4028	2
11577_4452	11577	4452	1
11577_4876	11577	4876	1
11577_5300	11577	5300	1
11577_5724	11577	5724	1
11577_6572	11577	6572	1
11577_6996	11577	6996	1
11577_7420	11577	7420	1
11577_7844	11577	7844	1
11577_8268	11577	8268	1
11577_8692	11577	8692	1
11577_9116	11577	9116	3
11577_9540	11577	9540	3
11577_9964	11577	9964	3
11577_10388	11577	10388	3
11577_10812	11577	10812	3
11577_11236	11577	11236	3
11577_11660	11577	11660	3
11577_12084	11577	12084	3
11577_12508	11577	12508	3
11577_12932	11577	12932	3
11577_13356	11577	13356	3
11577_13780	11577	13780	3
11577_14204	11577	14204	3
11577_14628	11577	14628	3
11577_15052	11577	15052	3
11577_15476	11577	15476	3
11577_15900	11577	15900	3
11577_16324	11577	16324	3
12031_2756	12031	2756	2
12031_4028	12031	4028	2
12031_4452	12031	4452	2
12031_4876	12031	4876	1
12031_5300	12031	5300	1
12031_5724	12031	5724	1
12031_6148	12031	6148	1
12031_6572	12031	6572	1
12031_6996	12031	6996	1
12031_7844	12031	7844	1
12031_8268	12031	8268	1
12031_8692	12031	8692	1
12031_9116	12031	9116	3
12031_9540	12031	9540	3
12031_9964	12031	9964	3
12031_10388	12031	10388	3
12031_10812	12031	10812	3
12031_11236	12031	11236	3
12031_11660	12031	11660	3
12031_12084	12031	12084	3
12031_12508	12031	12508	3
12031_12932	12031	12932	3
12031_13356	12031	13356	3
12031_13780	12031	13780	3
12031_14204	12031	14204	3
12031_14628	12031	14628	3
12031_15052	12031	15052	3
12031_15476	12031	15476	3
12031_15900	12031	15900	3
12031_16324	12031	16324	2
12485_636	12485	636	2
12485_1060	12485	1060	2
12485_1484	12485	1484	2
12485_2332	12485	2332	2
12485_2756	12485	2756	2
12485_3180	12485	3180	2
12485_4028	12485	4028	2
12485_4876	12485	4876	1
12485_5300	12485	5300	1
12485_5724	12485	5724	1
12485_6572	12485	6572	1
12485_6996	12485	6996	1
12485_7420	12485	7420	1
12485_7844	12485	7844	1
12485_8268	12485	8268	1
12485_8692	12485	8692	1
12485_9116	12485	9116	3
12485_9540	12485	9540	3
12485_9964	12485	9964	3
12485_10388	12485	10388	3
12485_10812	12485	10812	3
12485_11236	12485	11236	3
12485_11660	12485	11660	3
12485_12084	12485	12084	3
12485_12508	12485	12508	3
12485_12932	12485	12932	3
12485_13356	12485	13356	3
12485_13780	12485	13780	3
12485_14204	12485	14204	3
12485_14628	12485	14628	3
12485_15052	12485	15052	3
12485_15476	12485	15476	3
12485_15900	12485	15900	3
12939_212	12939	212	2
12939_636	12939	636	2
12939_1060	12939	1060	2
12939_1908	12939	1908	2
12939_2332	12939	2332	2
12939_2756	12939	2756	2
12939_3180	12939	3180	2
12939_3604	12939	3604	2
12939_4028	12939	4028	2
12939_4452	12939	4452	2
